Date,BNGA.JK,TLKM.JK,ADRO.JK,ANTM.JK
2024-05-16 00:00:00+07:00,1584.934326171875,2790.232177734375,1309.14794921875,1375.4110107421875
2024-05-17 00:00:00+07:00,1568.2066650390625,2771.692626953125,1309.14794921875,1423.7481689453125
2024-05-20 00:00:00+07:00,1555.6610107421875,2771.692626953125,1322.7847900390625,1454.5081787109375
2024-05-21 00:00:00+07:00,1526.387939453125,2734.613037109375,1309.14794921875,1490.773681640625
2024-05-22 00:00:00+07:00,1538.93359375,2725.34326171875,1327.3304443359375,1452.6707763671875
2024-05-27 00:00:00+07:00,1526.387939453125,2604.834716796875,1304.6021728515625,1424.09375
2024-05-28 00:00:00+07:00,1530.5697021484375,2651.18408203125,1318.9736328125,1443.1451416015625
2024-05-29 00:00:00+07:00,1488.7509765625,2604.834716796875,1314.0703125,1452.6707763671875
2024-05-30 00:00:00+07:00,1463.65966796875,2604.834716796875,1343.4898681640625,1419.330810546875
2024-05-31 00:00:00+07:00,1421.8406982421875,2688.263671875,1358.1995849609375,1395.5166015625
2024-06-03 00:00:00+07:00,1463.65966796875,2716.0732421875,1436.651611328125,1400.2794189453125
2024-06-04 00:00:00+07:00,1459.4776611328125,2780.96240234375,1431.7484130859375,1371.7022705078125
2024-06-05 00:00:00+07:00,1446.9320068359375,2836.58154296875,1407.2320556640625,1276.4451904296875
2024-06-06 00:00:00+07:00,1455.2958984375,2827.311767578125,1397.425537109375,1252.630859375
2024-06-07 00:00:00+07:00,1455.2958984375,2827.311767578125,1392.5224609375,1238.34228515625
2024-06-10 00:00:00+07:00,1438.568359375,2790.232177734375,1348.39306640625,1181.1881103515625
2024-06-11 00:00:00+07:00,1413.47705078125,2669.723876953125,1333.683349609375,1195.4766845703125
2024-06-12 00:00:00+07:00,1405.11328125,2706.803466796875,1368.006103515625,1209.7652587890625
2024-06-13 00:00:00+07:00,1388.3856201171875,2632.64453125,1363.1029052734375,1195.4766845703125
2024-06-14 00:00:00+07:00,1375.8399658203125,2521.406005859375,1363.1029052734375,1152.6109619140625
2024-06-19 00:00:00+07:00,1367.476318359375,2623.37451171875,1304.263916015625,1157.373779296875
2024-06-20 00:00:00+07:00,1392.567626953125,2632.64453125,1338.586669921875,1157.373779296875
2024-06-21 00:00:00+07:00,1430.20458984375,2734.613037109375,1338.586669921875,1171.662353515625
2024-06-24 00:00:00+07:00,1421.8406982421875,2734.613037109375,1333.683349609375,1190.7137451171875
2024-06-25 00:00:00+07:00,1421.8406982421875,2771.692626953125,1328.7801513671875,1166.8995361328125
