Date,BBNI.JK,TLKM.JK,UNVR.JK,BNGA.JK
2021-05-17 00:00:00+07:00,2086.910888671875,2456.061767578125,4539.083984375,642.7472534179688
2021-05-18 00:00:00+07:00,2067.93896484375,2448.362548828125,4518.8203125,639.4511108398438
2021-05-19 00:00:00+07:00,1992.05126953125,2432.9638671875,4417.50146484375,636.1549682617188
2021-05-20 00:00:00+07:00,1992.05126953125,2548.45263671875,4559.34716796875,632.8588256835938
2021-05-21 00:00:00+07:00,2020.50927734375,2517.655517578125,4518.8203125,636.1549682617188
2021-05-24 00:00:00+07:00,2011.023193359375,2509.9560546875,4640.40283203125,642.7472534179688
2021-05-25 00:00:00+07:00,2020.50927734375,2540.753173828125,4599.875,636.1549682617188
2021-05-27 00:00:00+07:00,1954.107421875,2602.347412109375,4721.4580078125,636.1549682617188
2021-05-28 00:00:00+07:00,1973.07958984375,2517.655517578125,4680.9296875,639.4511108398438
2021-05-31 00:00:00+07:00,2048.967041015625,2648.54296875,4741.7216796875,642.7472534179688
2021-06-02 00:00:00+07:00,2105.882568359375,2656.2421875,4741.7216796875,652.6356201171875
2021-06-03 00:00:00+07:00,2181.7705078125,2687.039306640625,4680.9296875,649.3395385742188
2021-06-04 00:00:00+07:00,2134.340576171875,2694.73828125,4579.611328125,639.4511108398438
2021-06-07 00:00:00+07:00,2096.396728515625,2733.23486328125,4559.34716796875,639.4511108398438
2021-06-08 00:00:00+07:00,2096.396728515625,2694.73828125,4518.08740234375,619.6742553710938
2021-06-09 00:00:00+07:00,2134.340576171875,2741.65380859375,4373.673828125,622.9703979492188
2021-06-10 00:00:00+07:00,2153.3125,2814.441162109375,4373.673828125,632.8588256835938
2021-06-11 00:00:00+07:00,2153.3125,2806.353759765625,4414.93408203125,629.5626831054688
2021-06-14 00:00:00+07:00,2105.882568359375,2757.828857421875,4332.412109375,622.9703979492188
2021-06-15 00:00:00+07:00,2096.396728515625,2782.09130859375,4270.52099609375,616.3781127929688
2021-06-16 00:00:00+07:00,2039.48095703125,2757.828857421875,4291.150390625,613.0819702148438
2021-06-17 00:00:00+07:00,1992.05126953125,2709.303955078125,4187.998046875,609.785888671875
2021-06-18 00:00:00+07:00,1874.4254150390625,2709.303955078125,4043.584716796875,603.193603515625
2021-06-21 00:00:00+07:00,1885.80859375,2668.866455078125,4208.62939453125,603.193603515625
2021-06-22 00:00:00+07:00,1878.219970703125,2668.866455078125,4167.36767578125,609.785888671875
2021-06-23 00:00:00+07:00,1840.2760009765625,2725.478759765625,4117.8544921875,599.8974609375
2021-06-24 00:00:00+07:00,1828.8927001953125,2628.42919921875,4093.09765625,596.601318359375
2021-06-25 00:00:00+07:00,1806.1263427734375,2628.42919921875,4126.1064453125,593.30517578125
2021-06-28 00:00:00+07:00,1737.82763671875,2563.7294921875,4146.7373046875,583.4168090820312
2021-06-29 00:00:00+07:00,1737.82763671875,2555.641845703125,4126.1064453125,580.12060546875
2021-06-30 00:00:00+07:00,1756.7996826171875,2547.5546875,4084.84521484375,580.12060546875
2021-07-01 00:00:00+07:00,1783.3602294921875,2515.20458984375,4311.78173828125,586.712890625
2021-07-02 00:00:00+07:00,1832.687255859375,2482.8544921875,4249.8896484375,599.8974609375
2021-07-05 00:00:00+07:00,1790.9488525390625,2458.59228515625,4084.84521484375,596.601318359375
2021-07-06 00:00:00+07:00,1787.15478515625,2434.329833984375,4126.1064453125,586.712890625
2021-07-07 00:00:00+07:00,1794.7431640625,2450.5048828125,4068.3408203125,590.009033203125
2021-07-08 00:00:00+07:00,1806.1263427734375,2434.329833984375,4010.575439453125,616.3781127929688
2021-07-09 00:00:00+07:00,1760.593994140625,2555.641845703125,4035.332275390625,603.193603515625
2021-07-12 00:00:00+07:00,1783.3602294921875,2531.37939453125,4146.7373046875,606.4896850585938
2021-07-13 00:00:00+07:00,1771.9771728515625,2482.8544921875,4208.62939453125,596.601318359375
2021-07-14 00:00:00+07:00,1737.82763671875,2474.76708984375,4208.62939453125,586.712890625
2021-07-15 00:00:00+07:00,1790.9488525390625,2531.37939453125,4249.8896484375,586.712890625
2021-07-16 00:00:00+07:00,1825.098388671875,2563.7294921875,4249.8896484375,590.009033203125
2021-07-19 00:00:00+07:00,1828.8927001953125,2604.166748046875,4187.998046875,626.2664794921875
2021-07-21 00:00:00+07:00,1859.247802734375,2596.0791015625,4229.2587890625,639.4511108398438
2021-07-22 00:00:00+07:00,1954.107421875,2636.516357421875,4146.7373046875,639.4511108398438
2021-07-23 00:00:00+07:00,1925.649658203125,2563.7294921875,3961.062255859375,639.4511108398438
2021-07-26 00:00:00+07:00,1916.163818359375,2579.904541015625,3878.540283203125,629.5626831054688
2021-07-27 00:00:00+07:00,1906.677734375,2644.60400390625,3713.49609375,632.8588256835938
2021-07-28 00:00:00+07:00,1882.0142822265625,2579.904541015625,3672.23486328125,622.9703979492188
2021-07-29 00:00:00+07:00,1870.631103515625,2612.25390625,3573.208251953125,622.9703979492188
2021-07-30 00:00:00+07:00,1813.7152099609375,2620.341552734375,3482.43408203125,629.5626831054688
2021-08-02 00:00:00+07:00,1828.8927001953125,2676.9541015625,3630.9736328125,646.0433959960938
2021-08-03 00:00:00+07:00,1878.219970703125,2693.12890625,3614.468994140625,646.0433959960938
2021-08-04 00:00:00+07:00,1916.163818359375,2725.478759765625,3573.208251953125,646.0433959960938
2021-08-05 00:00:00+07:00,1973.07958984375,2701.216552734375,3663.982666015625,665.8202514648438
2021-08-06 00:00:00+07:00,1944.62158203125,2685.04150390625,3647.478271484375,655.9318237304688
2021-08-09 00:00:00+07:00,1889.602783203125,2628.42919921875,3556.7041015625,636.1549682617188
2021-08-10 00:00:00+07:00,1893.397216796875,2612.25390625,3507.19091796875,639.4511108398438
2021-08-12 00:00:00+07:00,1925.649658203125,2709.303955078125,3474.182373046875,652.6356201171875
2021-08-13 00:00:00+07:00,1935.1357421875,2668.866455078125,3507.19091796875,652.6356201171875
2021-08-16 00:00:00+07:00,1954.107421875,2701.216552734375,3424.668212890625,639.4511108398438
2021-08-18 00:00:00+07:00,2058.452880859375,2765.916259765625,3490.68603515625,639.4511108398438
2021-08-19 00:00:00+07:00,2011.023193359375,2741.65380859375,3391.65966796875,626.2664794921875
2021-08-20 00:00:00+07:00,2058.452880859375,2749.7412109375,3358.650390625,626.2664794921875
2021-08-23 00:00:00+07:00,2029.9951171875,2782.09130859375,3350.398681640625,632.8588256835938
2021-08-24 00:00:00+07:00,2020.50927734375,2749.7412109375,3366.90283203125,626.2664794921875
2021-08-25 00:00:00+07:00,1992.05126953125,2725.478759765625,3441.172607421875,629.5626831054688
2021-08-26 00:00:00+07:00,1982.565185546875,2717.391357421875,3375.1552734375,672.4125366210938
2021-08-27 00:00:00+07:00,2011.023193359375,2685.04150390625,3325.641845703125,649.3395385742188
2021-08-30 00:00:00+07:00,2048.967041015625,2749.7412109375,3408.1640625,655.9318237304688
2021-08-31 00:00:00+07:00,2048.967041015625,2749.7412109375,3342.146484375,665.8202514648438
2021-09-01 00:00:00+07:00,2020.50927734375,2701.216552734375,3383.407470703125,652.6356201171875
2021-09-02 00:00:00+07:00,1992.05126953125,2725.478759765625,3424.668212890625,659.2279663085938
2021-09-03 00:00:00+07:00,2067.93896484375,2741.65380859375,3498.9384765625,659.2279663085938
2021-09-06 00:00:00+07:00,2067.93896484375,2741.65380859375,3507.19091796875,665.8202514648438
2021-09-07 00:00:00+07:00,2048.967041015625,2733.56640625,3507.19091796875,675.7086791992188
2021-09-08 00:00:00+07:00,2020.50927734375,2693.12890625,3383.407470703125,659.2279663085938
2021-09-09 00:00:00+07:00,2048.967041015625,2741.65380859375,3383.407470703125,655.9318237304688
2021-09-10 00:00:00+07:00,2067.93896484375,2693.12890625,3366.90283203125,659.2279663085938
2021-09-13 00:00:00+07:00,2048.967041015625,2709.303955078125,3333.89404296875,655.9318237304688
2021-09-14 00:00:00+07:00,2048.967041015625,2782.09130859375,3342.146484375,659.2279663085938
2021-09-15 00:00:00+07:00,2029.9951171875,2790.1787109375,3333.89404296875,659.2279663085938
2021-09-16 00:00:00+07:00,2001.537353515625,2782.09130859375,3309.137451171875,655.9318237304688
2021-09-17 00:00:00+07:00,2011.023193359375,2854.87841796875,3259.62451171875,649.3395385742188
2021-09-20 00:00:00+07:00,1954.107421875,2846.791015625,3201.858642578125,636.1549682617188
2021-09-21 00:00:00+07:00,1944.62158203125,2854.87841796875,3168.849853515625,639.4511108398438
2021-09-22 00:00:00+07:00,1954.107421875,2903.4033203125,3333.89404296875,642.7472534179688
2021-09-23 00:00:00+07:00,1944.62158203125,2879.14111328125,3342.146484375,646.0433959960938
2021-09-24 00:00:00+07:00,1935.1357421875,2879.14111328125,3276.128662109375,642.7472534179688
2021-09-27 00:00:00+07:00,1925.649658203125,2846.791015625,3185.3544921875,632.8588256835938
2021-09-28 00:00:00+07:00,1916.163818359375,2854.87841796875,3152.34521484375,636.1549682617188
2021-09-29 00:00:00+07:00,1982.565185546875,2854.87841796875,3234.86767578125,639.4511108398438
2021-09-30 00:00:00+07:00,2039.48095703125,2984.278076171875,3259.62451171875,642.7472534179688
2021-10-01 00:00:00+07:00,2029.9951171875,2960.015625,3185.3544921875,642.7472534179688
2021-10-04 00:00:00+07:00,2162.798583984375,2968.102783203125,3284.380859375,665.8202514648438
2021-10-05 00:00:00+07:00,2162.798583984375,2968.102783203125,3424.668212890625,655.9318237304688
2021-10-06 00:00:00+07:00,2276.6298828125,3040.890625,3523.695068359375,698.7816162109375
2021-10-07 00:00:00+07:00,2267.14404296875,3008.54052734375,3985.81884765625,685.5970458984375
2021-10-08 00:00:00+07:00,2333.5458984375,3073.240234375,3928.053466796875,688.8931884765625
2021-10-11 00:00:00+07:00,2428.405517578125,3081.32763671875,3985.81884765625,679.0047607421875
2021-10-12 00:00:00+07:00,2428.405517578125,3057.0654296875,4068.3408203125,675.7086791992188
2021-10-13 00:00:00+07:00,2532.7509765625,3048.977783203125,4332.412109375,675.7086791992188
2021-10-14 00:00:00+07:00,2608.638671875,3097.502685546875,4394.30322265625,708.6701049804688
2021-10-15 00:00:00+07:00,2561.208984375,3081.32763671875,4311.78173828125,715.2623291015625
2021-10-18 00:00:00+07:00,2684.5263671875,3065.153076171875,4208.62939453125,715.2623291015625
2021-10-19 00:00:00+07:00,2741.442138671875,3024.71533203125,4229.2587890625,715.2623291015625
2021-10-21 00:00:00+07:00,2779.3857421875,3113.677734375,4126.1064453125,705.3739013671875
2021-10-22 00:00:00+07:00,2826.815673828125,3129.8525390625,4002.3232421875,705.3739013671875
2021-10-25 00:00:00+07:00,2788.871826171875,3057.0654296875,3779.513427734375,692.1893920898438
2021-10-26 00:00:00+07:00,2760.413818359375,3073.240234375,3829.02734375,695.485595703125
2021-10-27 00:00:00+07:00,2684.5263671875,3065.153076171875,3746.5048828125,675.7086791992188
2021-10-28 00:00:00+07:00,2675.04052734375,3032.802978515625,3663.982666015625,679.0047607421875
2021-10-29 00:00:00+07:00,2656.068359375,3073.240234375,3647.478271484375,688.8931884765625
2021-11-01 00:00:00+07:00,2599.15283203125,2992.365234375,3647.478271484375,711.9661865234375
2021-11-02 00:00:00+07:00,2580.1806640625,2960.015625,3688.739501953125,695.485595703125
2021-11-03 00:00:00+07:00,2665.554443359375,3008.54052734375,3672.23486328125,695.485595703125
2021-11-04 00:00:00+07:00,2656.068359375,3048.977783203125,3672.23486328125,705.3739013671875
2021-11-05 00:00:00+07:00,2637.096435546875,3048.977783203125,3655.73046875,702.0778198242188
2021-11-08 00:00:00+07:00,2675.04052734375,3032.802978515625,3680.4873046875,698.7816162109375
2021-11-09 00:00:00+07:00,2675.04052734375,3000.452880859375,3655.73046875,695.485595703125
2021-11-10 00:00:00+07:00,2684.5263671875,2992.365234375,3606.217041015625,692.1893920898438
2021-11-11 00:00:00+07:00,2665.554443359375,2951.927978515625,3845.531494140625,692.1893920898438
2021-11-12 00:00:00+07:00,2618.124755859375,2911.49072265625,3796.017578125,698.7816162109375
2021-11-15 00:00:00+07:00,2580.1806640625,2911.49072265625,3721.748046875,688.8931884765625
2021-11-16 00:00:00+07:00,2608.638671875,2968.102783203125,3771.26123046875,685.5970458984375
2021-11-17 00:00:00+07:00,2656.068359375,2935.753173828125,3713.49609375,682.3009643554688
2021-11-18 00:00:00+07:00,2627.610595703125,2935.753173828125,3696.991943359375,679.0047607421875
2021-11-19 00:00:00+07:00,2665.554443359375,3154.115234375,3845.531494140625,688.8931884765625
2021-11-22 00:00:00+07:00,2722.469970703125,3073.240234375,3994.0712890625,685.5970458984375
