Date,BBNI.JK,TLKM.JK,UNVR.JK,BNGA.JK
2023-05-16 00:00:00+07:00,3527.178466796875,3336.548095703125,3897.8349609375,1145.837158203125
2023-05-17 00:00:00+07:00,3527.178466796875,3344.931640625,3854.62109375,1118.3682861328125
2023-05-19 00:00:00+07:00,3557.411376953125,3370.08154296875,3828.693359375,1134.0648193359375
2023-05-22 00:00:00+07:00,3567.489013671875,3386.84814453125,3820.05078125,1141.9129638671875
2023-05-23 00:00:00+07:00,3607.799560546875,3386.84814453125,3845.978271484375,1141.9129638671875
2023-05-24 00:00:00+07:00,3557.411376953125,3487.447509765625,3811.408203125,1114.4442138671875
2023-05-25 00:00:00+07:00,3627.955078125,3453.9140625,3811.408203125,1106.59619140625
2023-05-26 00:00:00+07:00,3607.799560546875,3462.297607421875,3785.480224609375,1137.9888916015625
2023-05-29 00:00:00+07:00,3648.1103515625,3520.980712890625,3932.40576171875,1141.9129638671875
2023-05-30 00:00:00+07:00,3638.032470703125,3453.9140625,3923.762451171875,1141.9129638671875
2023-05-31 00:00:00+07:00,3648.1103515625,3386.84814453125,3915.1201171875,1130.1407470703125
2023-06-05 00:00:00+07:00,3627.955078125,3420.381103515625,3889.19189453125,1134.0648193359375
2023-06-06 00:00:00+07:00,3708.576171875,3428.764404296875,3854.62109375,1145.837158203125
2023-06-07 00:00:00+07:00,3688.420654296875,3479.064208984375,3949.6904296875,1149.76123046875
2023-06-08 00:00:00+07:00,3708.576171875,3495.830810546875,3975.6181640625,1149.76123046875
2023-06-09 00:00:00+07:00,3718.654052734375,3479.064208984375,3932.40576171875,1145.837158203125
2023-06-12 00:00:00+07:00,3748.88671875,3538.119140625,3984.260986328125,1208.622802734375
2023-06-13 00:00:00+07:00,3678.34326171875,3520.646728515625,3897.8349609375,1240.015380859375
2023-06-14 00:00:00+07:00,3617.876953125,3494.4384765625,3837.3359375,1208.622802734375
2023-06-15 00:00:00+07:00,3668.265625,3511.910888671875,3906.477294921875,1212.546875
