Date,BBCA.JK,BBRI.JK,BMRI.JK,BBNI.JK,BNGA.JK
2021-05-17 00:00:00+07:00,5569.46142578125,2522.06640625,2093.877197265625,2086.910888671875,642.7472534179688
2021-05-18 00:00:00+07:00,5475.208984375,2522.06640625,2085.04248046875,2067.93896484375,639.4510498046875
2021-05-19 00:00:00+07:00,5436.65234375,2502.666015625,2005.5279541015625,1992.051025390625,636.1549682617188
2021-05-20 00:00:00+07:00,5466.64111328125,2509.1328125,1996.6932373046875,1992.051025390625,632.8588256835938
2021-05-21 00:00:00+07:00,5449.50390625,2515.599365234375,2058.537841796875,2020.50927734375,636.1549682617188
2021-05-24 00:00:00+07:00,5419.5146484375,2612.60205078125,2032.0328369140625,2011.0230712890625,642.7472534179688
2021-05-25 00:00:00+07:00,5445.22021484375,2625.535888671875,2085.04248046875,2020.50927734375,636.1549682617188
2021-05-27 00:00:00+07:00,5372.38818359375,2554.400390625,2032.0328369140625,1954.1075439453125,636.1549682617188
2021-05-28 00:00:00+07:00,5432.36669921875,2632.00244140625,2049.702880859375,1973.07958984375,639.4510498046875
2021-05-31 00:00:00+07:00,5462.35693359375,2754.872314453125,2120.38232421875,2048.967041015625,642.7472534179688
2021-06-02 00:00:00+07:00,5539.47314453125,2754.872314453125,2155.72216796875,2105.883056640625,652.6357421875
2021-06-03 00:00:00+07:00,5655.14599609375,2819.540771484375,2208.7314453125,2181.7705078125,649.3395385742188
2021-06-04 00:00:00+07:00,5638.00927734375,2806.60693359375,2164.556884765625,2134.340576171875,639.4510498046875
2021-06-07 00:00:00+07:00,5595.1669921875,2748.40576171875,2164.556884765625,2096.396728515625,639.4510498046875
2021-06-08 00:00:00+07:00,5509.4833984375,2716.0712890625,2120.38232421875,2096.396728515625,619.6742553710938
2021-06-09 00:00:00+07:00,5595.1669921875,2729.0048828125,2173.3916015625,2134.340576171875,622.9703979492188
2021-06-10 00:00:00+07:00,5672.2822265625,2780.739990234375,2191.0615234375,2153.3125,632.8588256835938
2021-06-11 00:00:00+07:00,5543.75732421875,2767.80615234375,2217.566162109375,2153.3125,629.562744140625
2021-06-14 00:00:00+07:00,5492.3466796875,2813.07373046875,2217.566162109375,2105.883056640625,622.9703979492188
2021-06-15 00:00:00+07:00,5543.75732421875,2735.471923828125,2235.236083984375,2096.396728515625,616.3781127929688
2021-06-16 00:00:00+07:00,5470.92578125,2593.20166015625,2217.566162109375,2039.4810791015625,613.0819702148438
2021-06-17 00:00:00+07:00,5423.798828125,2606.13525390625,2191.0615234375,1992.051025390625,609.7859497070312
2021-06-18 00:00:00+07:00,5419.5146484375,2528.533447265625,2191.0615234375,1874.425537109375,603.1935424804688
2021-06-21 00:00:00+07:00,5355.251953125,2547.933349609375,2129.216796875,1885.8084716796875,603.1935424804688
2021-06-22 00:00:00+07:00,5432.36669921875,2612.60205078125,2182.2265625,1878.2198486328125,609.7859497070312
2021-06-23 00:00:00+07:00,5338.11474609375,2547.933349609375,2129.216796875,1840.276123046875,599.8974609375
2021-06-24 00:00:00+07:00,5320.978515625,2580.267578125,2111.54736328125,1828.8927001953125,596.6012573242188
2021-06-25 00:00:00+07:00,5303.84130859375,2580.267578125,2085.04248046875,1806.12646484375,593.3051147460938
2021-06-28 00:00:00+07:00,5188.1669921875,2541.466796875,2014.363037109375,1737.82763671875,583.416748046875
2021-06-29 00:00:00+07:00,5179.599609375,2522.06640625,2040.867919921875,1737.82763671875,580.12060546875
2021-06-30 00:00:00+07:00,5162.46240234375,2547.933349609375,2085.04248046875,1756.799560546875,580.12060546875
2021-07-01 00:00:00+07:00,5162.46240234375,2547.933349609375,2111.54736328125,1783.3602294921875,586.712890625
2021-07-02 00:00:00+07:00,5226.7255859375,2580.267578125,2102.712158203125,1832.687255859375,599.8974609375
2021-07-05 00:00:00+07:00,5235.2939453125,2522.06640625,2067.37255859375,1790.94921875,596.6012573242188
2021-07-06 00:00:00+07:00,5188.1669921875,2515.599365234375,2040.867919921875,1787.154541015625,586.712890625
2021-07-07 00:00:00+07:00,5196.736328125,2470.331787109375,2032.0328369140625,1794.7432861328125,590.009033203125
2021-07-08 00:00:00+07:00,5153.89404296875,2502.666015625,2085.04248046875,1806.12646484375,616.3781127929688
2021-07-09 00:00:00+07:00,5158.1787109375,2457.39794921875,2040.867919921875,1760.59375,603.1935424804688
2021-07-12 00:00:00+07:00,5286.7041015625,2431.5302734375,2049.702880859375,1783.3602294921875,606.48974609375
2021-07-13 00:00:00+07:00,5179.599609375,2444.464111328125,2040.867919921875,1771.97705078125,596.6012573242188
2021-07-14 00:00:00+07:00,5132.47314453125,2399.196533203125,2014.363037109375,1737.82763671875,586.712890625
2021-07-15 00:00:00+07:00,5239.578125,2463.8642578125,2076.207275390625,1790.94921875,586.712890625
2021-07-16 00:00:00+07:00,5235.2939453125,2483.265380859375,2076.207275390625,1825.098388671875,590.009033203125
2021-07-19 00:00:00+07:00,5145.3251953125,2444.464111328125,2032.0328369140625,1828.8927001953125,626.2666015625
2021-07-21 00:00:00+07:00,5149.60986328125,2470.331787109375,2093.877197265625,1859.2479248046875,639.4510498046875
2021-07-22 00:00:00+07:00,5273.8525390625,2522.06640625,2138.05224609375,1954.1075439453125,639.4510498046875
2021-07-23 00:00:00+07:00,5171.03076171875,2502.666015625,2111.54736328125,1925.6495361328125,639.4510498046875
2021-07-26 00:00:00+07:00,5145.3251953125,2476.798583984375,2049.702880859375,1916.16357421875,629.562744140625
2021-07-27 00:00:00+07:00,5145.3251953125,2457.39794921875,2058.537841796875,1906.6776123046875,632.8588256835938
2021-07-28 00:00:00+07:00,5123.904296875,2412.1298828125,2085.04248046875,1882.0142822265625,622.9703979492188
2021-07-29 00:00:00+07:00,5175.3154296875,2437.99755859375,2032.0328369140625,1870.631103515625,622.9703979492188
2021-07-30 00:00:00+07:00,5115.33642578125,2399.196533203125,2014.363037109375,1813.7152099609375,629.562744140625
2021-08-02 00:00:00+07:00,5106.7685546875,2418.596923828125,2005.5279541015625,1828.8927001953125,646.0433959960938
2021-08-03 00:00:00+07:00,5265.283203125,2425.063720703125,2040.867919921875,1878.2198486328125,646.0433959960938
2021-08-04 00:00:00+07:00,5243.86181640625,2489.73193359375,2058.537841796875,1916.16357421875,646.0433959960938
2021-08-05 00:00:00+07:00,5398.09423828125,2619.069091796875,2138.05224609375,1973.07958984375,665.8201904296875
2021-08-06 00:00:00+07:00,5278.1357421875,2541.466796875,2111.54736328125,1944.62158203125,655.9317626953125
2021-08-09 00:00:00+07:00,5312.40966796875,2489.73193359375,2049.702880859375,1889.602783203125,636.1549682617188
2021-08-10 00:00:00+07:00,5398.09423828125,2470.331787109375,2049.702880859375,1893.397216796875,639.4510498046875
2021-08-12 00:00:00+07:00,5398.09423828125,2463.8642578125,2093.877197265625,1925.6495361328125,652.6357421875
2021-08-13 00:00:00+07:00,5492.3466796875,2502.666015625,2120.38232421875,1935.1356201171875,652.6357421875
2021-08-16 00:00:00+07:00,5500.9150390625,2541.466796875,2111.54736328125,1954.1075439453125,639.4510498046875
2021-08-18 00:00:00+07:00,5655.14599609375,2632.00244140625,2138.05224609375,2058.453125,639.4510498046875
2021-08-19 00:00:00+07:00,5655.14599609375,2509.1328125,2067.37255859375,2011.0230712890625,626.2666015625
2021-08-20 00:00:00+07:00,5655.14599609375,2541.466796875,2085.04248046875,2058.453125,626.2666015625
2021-08-23 00:00:00+07:00,5646.5771484375,2560.8671875,2111.54736328125,2029.9949951171875,632.8588256835938
2021-08-24 00:00:00+07:00,5655.14599609375,2515.599365234375,2058.537841796875,2020.50927734375,626.2666015625
